LGA,Venue Count,Avg Frequency,Total Capacity,Avg Capacity,LGA Name,Total Revenue (AUD),Population,Venues Per 10k Population,Total Capacity Per Population,Revenue Per Capita,Frequency Weighted Venue Density,Gig Density Score
Darebin City Council,63,3.86031746031746,22212.0,352.57142857142856,Darebin City Council,191800000,155683,4.046684609109537,0.14267453736117625,1231.9906476622368,15.62148725294348,15.621487252943481
East Gippsland Shire Council,51,0.7313725490196078,9423.0,184.76470588235293,East Gippsland Shire Council,141600000,49179,10.370279997559933,0.1916061733666809,2879.2777404989934,7.584538115862461,7.58453811586246
Frankston City Council,21,3.0571428571428574,8689.0,413.76190476190476,Frankston City Council,207800000,142826,1.4703205298755129,0.06083626230518253,1454.9171719434837,4.4949799056194255,4.4949799056194255
Gannawarra Shire Council,8,0.825,1477.0,184.625,Gannawarra Shire Council,40600000,10420,7.677543186180422,0.14174664107485604,3896.3531669865642,6.333973128598847,6.333973128598848
Glen Eira City Council,24,1.4416666666666667,6998.0,291.5833333333333,Glen Eira City Council,188500000,156837,1.5302511524703992,0.04461957318744939,1201.884759336126,2.206112078144826,2.2061120781448254
Glenelg Shire Council,21,1.2476190476190476,3677.0,175.0952380952381,Glenelg Shire Council,60300000,20022,10.488462691039857,0.18364798721406453,3011.6871441414446,13.085605833583058,13.08560583358306
Golden Plains Shire Council,6,0.39999999999999997,326.0,54.333333333333336,Golden Plains Shire Council,52500000,25818,2.3239600278875203,0.012626849484855528,2033.4650244015802,0.9295840111550081,0.9295840111550081
Greater Bendigo City Council,80,2.295,23164.0,289.55,Greater Bendigo City Council,245400000,124174,6.442572519206919,0.18654468729363635,1976.2591202667224,14.78570393157988,14.78570393157988
Greater Dandenong City Council,17,1.0588235294117647,7866.0,462.70588235294116,Greater Dandenong City Council,249500000,163792,1.0379017290221746,0.04802432353228485,1523.2734199472502,1.098954771905832,1.098954771905832
Greater Geelong City Council,132,1.837878787878788,45204.0,342.45454545454544,Greater Geelong City Council,567000000,282809,4.6674610779713515,0.1598393261883462,2004.8866903104215,8.578227708453408,8.578227708453408
Greater Shepparton City Council,30,1.7666666666666666,6170.0,205.66666666666666,Greater Shepparton City Council,165100000,69135,4.3393360815795186,0.08924567874448543,2388.0812902292614,7.666160410790483,7.666160410790482
Hepburn Shire Council,20,1.55,7929.0,396.45,Hepburn Shire Council,47100000,16670,11.997600479904019,0.47564487102579484,2825.4349130173964,18.596280743851228,18.59628074385123
Hindmarsh Shire Council,8,0.4625,1072.0,134.0,Hindmarsh Shire Council,26400000,5559,14.391077531930204,0.19284043892786473,4749.055585536967,6.655873358517719,6.65587335851772
Hobsons Bay City Council,30,2.49,8353.0,278.43333333333334,Hobsons Bay City Council,160700000,93738,3.2004096524355115,0.08911007275597943,1714.3527704879557,7.969020034564425,7.969020034564424
Horsham Rural City Council,18,0.8833333333333333,4680.0,260.0,Horsham Rural City Council,60600000,20315,8.860447944868323,0.2303716465665764,2983.017474772336,7.826729017967018,7.826729017967018
Hume City Council,19,1.894736842105263,5596.0,294.5263157894737,Hume City Council,243500000,262764,0.7230823096010107,0.02129667686593293,926.6870651991901,1.3700506918755995,1.3700506918755992
